"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 15, 2014","2,216.01","2,200.88","2,230.35","2,102.98","-","-1.40%"
"Oct 14, 2014","2,247.37","2,210.41","2,270.82","2,195.40","-","1.92%"
"Oct 13, 2014","2,204.93","2,227.23","2,258.83","2,198.09","-","-1.46%"
"Oct 10, 2014","2,237.63","2,260.92","2,277.14","2,193.39","-","-1.16%"
"Oct 09, 2014","2,264.00","2,335.22","2,336.19","2,264.00","-","-3.33%"
"Oct 08, 2014","2,342.02","2,306.76","2,346.98","2,292.02","-","1.76%"
"Oct 07, 2014","2,301.60","2,367.64","2,380.32","2,300.24","-","-3.01%"
"Oct 06, 2014","2,373.04","2,407.55","2,426.09","2,372.14","-","-0.63%"
"Oct 03, 2014","2,388.12","2,419.38","2,419.38","2,387.05","-","-0.69%"
"Oct 02, 2014","2,404.83","2,505.82","2,505.82","2,349.54","-","-4.26%"
"Oct 01, 2014","2,511.90","2,606.95","2,617.08","2,505.42","-","-4.01%"
"Sep 30, 2014","2,616.80","2,605.97","2,618.67","2,573.62","-","0.36%"
"Sep 29, 2014","2,607.50","2,633.20","2,633.20","2,575.10","-","-1.38%"
"Sep 26, 2014","2,643.86","2,563.52","2,649.75","2,563.33","-","3.18%"
"Sep 25, 2014","2,562.45","2,616.94","2,618.47","2,559.63","-","-2.48%"
"Sep 24, 2014","2,627.55","2,624.55","2,636.63","2,578.61","-","0.31%"
"Sep 23, 2014","2,619.45","2,649.29","2,650.40","2,602.94","-","-0.93%"
"Sep 22, 2014","2,643.98","2,610.34","2,646.48","2,581.96","-","0.65%"
"Sep 19, 2014","2,626.84","2,644.44","2,644.44","2,599.48","-","-0.59%"
"Sep 18, 2014","2,642.38","2,642.00","2,664.03","2,633.67","-","-0.20%"
"Sep 17, 2014","2,647.59","2,701.81","2,701.81","2,633.04","-","-1.98%"
"Sep 16, 2014","2,701.00","2,581.41","2,711.31","2,571.17","-","4.50%"
"Sep 15, 2014","2,584.61","2,619.02","2,648.11","2,568.94","-","-1.46%"
"Sep 12, 2014","2,622.81","2,554.03","2,638.67","2,551.17","-","2.04%"
"Sep 11, 2014","2,570.38","2,520.90","2,579.14","2,515.21","-","1.94%"
"Sep 10, 2014","2,521.52","2,478.90","2,524.54","2,477.59","-","1.63%"
"Sep 09, 2014","2,481.18","2,457.83","2,482.70","2,436.89","-","0.16%"
"Sep 08, 2014","2,477.26","2,498.91","2,519.78","2,466.26","-","-1.05%"
"Sep 05, 2014","2,503.50","2,467.51","2,507.74","2,446.84","-","1.44%"
"Sep 04, 2014","2,467.90","2,518.90","2,530.48","2,462.32","-","-2.00%"
"Sep 03, 2014","2,518.16","2,396.03","2,524.77","2,393.54","-","5.45%"
"Sep 02, 2014","2,388.09","2,347.28","2,389.99","2,334.12","-","1.59%"
"Aug 29, 2014","2,350.65","2,345.28","2,364.23","2,321.05","-","0.37%"
"Aug 28, 2014","2,341.95","2,350.25","2,364.69","2,341.65","-","-0.44%"
"Aug 27, 2014","2,352.31","2,336.48","2,358.44","2,336.48","-","0.55%"
"Aug 26, 2014","2,339.54","2,352.28","2,361.94","2,334.66","-","-0.31%"
"Aug 25, 2014","2,346.83","2,332.45","2,397.30","2,330.26","-","0.73%"
"Aug 22, 2014","2,329.80","2,294.24","2,330.86","2,280.46","-","1.40%"
"Aug 21, 2014","2,297.53","2,305.24","2,318.85","2,291.21","-","-0.21%"
"Aug 20, 2014","2,302.30","2,355.23","2,356.49","2,278.75","-","-2.77%"
"Aug 19, 2014","2,367.83","2,409.12","2,424.45","2,364.24","-","-1.42%"
"Aug 18, 2014","2,401.83","2,357.14","2,412.72","2,357.14","-","1.80%"
"Aug 15, 2014","2,359.37","2,323.58","2,360.51","2,299.32","-","1.50%"
"Aug 14, 2014","2,324.40","2,383.80","2,396.14","2,319.86","-","-2.65%"
"Aug 13, 2014","2,387.62","2,408.71","2,409.78","2,348.73","-","-0.32%"
"Aug 12, 2014","2,395.29","2,433.53","2,437.81","2,395.29","-","-1.48%"
"Aug 11, 2014","2,431.29","2,501.50","2,501.50","2,426.22","-","-2.71%"
"Aug 08, 2014","2,499.08","2,512.53","2,532.95","2,466.97","-","-0.44%"
"Aug 07, 2014","2,510.25","2,497.39","2,563.50","2,477.73","-","0.54%"
"Aug 06, 2014","2,496.66","2,490.67","2,541.29","2,463.86","-","0.15%"
"Aug 05, 2014","2,492.93","2,610.98","2,614.06","2,481.05","-","-5.67%"
"Aug 04, 2014","2,642.74","2,650.02","2,699.72","2,626.78","-","-0.77%"
"Aug 01, 2014","2,663.20","2,692.36","2,692.55","2,531.62","-","-1.63%"
"Jul 31, 2014","2,707.22","2,878.41","2,878.41","2,646.45","-","-7.42%"
"Jul 30, 2014","2,924.22","2,692.94","2,995.43","2,692.94","-","10.60%"
"Jul 29, 2014","2,644.06","2,553.04","2,650.12","2,481.35","-","3.31%"
"Jul 28, 2014","2,559.40","2,671.61","2,675.44","2,554.20","-","-4.08%"
"Jul 25, 2014","2,668.25","2,756.33","2,756.33","2,648.52","-","-3.44%"
"Jul 24, 2014","2,763.43","2,724.96","2,831.65","2,724.96","-","2.25%"
"Jul 23, 2014","2,702.72","2,771.86","2,771.86","2,672.21","-","-2.42%"
"Jul 22, 2014","2,769.82","2,823.77","2,863.19","2,707.00","-","-1.84%"
"Jul 21, 2014","2,821.62","2,934.12","2,934.99","2,790.41","-","-3.63%"
"Jul 18, 2014","2,927.87","2,788.79","2,934.93","2,779.63","-","5.35%"
"Jul 17, 2014","2,779.16","2,830.58","2,839.22","2,770.19","-","-2.00%"
