"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 14, 2015","5,354.42","5,344.94","5,365.38","5,306.30","-","0.24%"
"Aug 13, 2015","5,341.63","5,192.56","5,369.73","5,192.56","-","2.81%"
"Aug 12, 2015","5,195.86","5,297.51","5,297.51","5,162.22","-","-3.70%"
"Aug 11, 2015","5,395.52","5,604.54","5,613.18","5,395.52","-","-3.34%"
"Aug 10, 2015","5,581.75","5,584.04","5,589.24","5,529.01","-","-0.34%"
"Aug 07, 2015","5,601.06","5,646.33","5,647.08","5,590.99","-","-1.00%"
"Aug 06, 2015","5,657.65","5,723.20","5,747.54","5,657.65","-","-1.00%"
"Aug 05, 2015","5,714.52","5,600.83","5,714.52","5,596.99","-","2.22%"
"Aug 04, 2015","5,590.21","5,586.42","5,630.24","5,584.07","-","-0.51%"
"Aug 03, 2015","5,619.08","5,544.77","5,625.68","5,544.62","-","0.50%"
"Jul 31, 2015","5,591.07","5,466.50","5,593.66","5,466.50","-","2.58%"
"Jul 30, 2015","5,450.67","5,486.20","5,519.87","5,450.67","-","0.04%"
"Jul 29, 2015","5,448.42","5,476.19","5,519.86","5,448.42","-","0.13%"
"Jul 28, 2015","5,441.53","5,488.68","5,488.68","5,441.53","-","-1.55%"
"Jul 27, 2015","5,527.19","5,626.81","5,651.94","5,527.19","-","-2.51%"
"Jul 24, 2015","5,669.54","5,723.67","5,723.67","5,656.13","-","-1.36%"
"Jul 23, 2015","5,747.87","5,751.35","5,773.73","5,733.11","-","-0.41%"
"Jul 22, 2015","5,771.81","5,739.59","5,771.81","5,684.57","-","1.26%"
"Jul 15, 2015","5,699.90","5,736.55","5,740.56","5,669.73","-","-0.95%"
"Jul 14, 2015","5,754.33","5,759.65","5,785.57","5,738.66","-","0.30%"
"Jul 13, 2015","5,737.40","5,691.98","5,741.53","5,678.59","-","0.99%"
"Jul 10, 2015","5,681.41","5,685.64","5,719.16","5,656.10","-","0.55%"
"Jul 09, 2015","5,650.59","5,665.25","5,676.92","5,608.74","-","-0.88%"
"Jul 08, 2015","5,700.72","5,766.06","5,766.06","5,679.70","-","-0.98%"
"Jul 07, 2015","5,756.99","5,789.76","5,797.58","5,741.23","-","-0.52%"
"Jul 06, 2015","5,787.25","5,821.59","5,846.35","5,778.99","-","-1.57%"
"Jul 03, 2015","5,879.45","5,817.17","5,879.45","5,814.26","-","0.85%"
"Jul 02, 2015","5,829.76","5,773.86","5,848.47","5,769.16","-","1.33%"
"Jul 01, 2015","5,752.98","5,798.70","5,807.82","5,752.98","-","-0.42%"
"Jun 30, 2015","5,777.04","5,753.09","5,820.18","5,736.95","-","0.61%"
"Jun 29, 2015","5,741.81","5,734.02","5,755.77","5,696.45","-","-0.67%"
"Jun 26, 2015","5,780.74","5,754.01","5,803.72","5,737.27","-","0.38%"
"Jun 25, 2015","5,758.99","5,801.50","5,804.88","5,758.99","-","-1.05%"
"Jun 24, 2015","5,819.93","5,827.25","5,855.57","5,795.16","-","0.26%"
"Jun 23, 2015","5,804.68","5,856.70","5,863.78","5,804.68","-","-0.67%"
"Jun 22, 2015","5,843.57","5,900.68","5,900.68","5,843.57","-","-0.80%"
"Jun 19, 2015","5,890.49","5,854.14","5,896.82","5,854.14","-","0.98%"
"Jun 18, 2015","5,833.58","5,839.97","5,851.80","5,813.06","-","-0.04%"
"Jun 17, 2015","5,835.80","5,761.28","5,860.27","5,761.28","-","1.91%"
"Jun 16, 2015","5,726.28","5,667.88","5,759.55","5,649.39","-","1.25%"
"Jun 15, 2015","5,655.34","5,789.71","5,789.71","5,655.34","-","-2.37%"
"Jun 12, 2015","5,792.40","5,778.50","5,810.55","5,768.50","-","0.13%"
"Jun 11, 2015","5,784.74","5,864.10","5,864.10","5,752.05","-","-0.13%"
"Jun 10, 2015","5,792.17","5,765.59","5,859.57","5,765.59","-","0.68%"
"Jun 09, 2015","5,753.24","5,898.58","5,898.58","5,681.72","-","-2.59%"
"Jun 08, 2015","5,906.29","5,991.59","5,995.73","5,897.91","-","-1.90%"
"Jun 05, 2015","6,020.72","5,976.05","6,020.72","5,965.89","-","0.34%"
"Jun 04, 2015","6,000.21","6,032.20","6,061.94","6,000.21","-","-0.78%"
"Jun 03, 2015","6,047.47","6,174.37","6,177.58","6,040.62","-","-2.15%"
"Jun 01, 2015","6,180.34","6,168.55","6,180.34","6,138.60","-","-0.03%"
"May 29, 2015","6,182.10","6,191.42","6,225.72","6,182.10","-","-0.37%"
"May 28, 2015","6,205.01","6,237.19","6,258.55","6,187.76","-","-0.31%"
"May 27, 2015","6,224.60","6,280.91","6,321.05","6,224.60","-","-1.59%"
"May 26, 2015","6,324.99","6,271.02","6,365.02","6,269.55","-","0.71%"
"May 25, 2015","6,280.65","6,319.52","6,319.52","6,278.88","-","-0.74%"
"May 22, 2015","6,327.57","6,347.70","6,362.84","6,299.70","-","-0.23%"
"May 21, 2015","6,342.35","6,325.28","6,383.99","6,274.62","-","0.76%"
"May 20, 2015","6,294.36","6,279.85","6,325.83","6,257.25","-","0.88%"
"May 19, 2015","6,239.63","6,191.84","6,250.40","6,163.70","-","0.75%"
"May 18, 2015","6,193.16","6,171.54","6,195.22","6,161.12","-","0.22%"
"May 15, 2015","6,179.82","6,240.94","6,255.98","6,162.80","-","-0.80%"
"May 13, 2015","6,229.57","6,179.11","6,245.00","6,154.25","-","0.98%"
"May 12, 2015","6,169.00","6,137.84","6,209.66","6,133.75","-","0.58%"
"May 11, 2015","6,133.62","6,174.30","6,190.84","6,133.62","-","-0.16%"
"May 08, 2015","6,143.38","6,113.75","6,166.84","6,113.75","-","1.07%"
"May 07, 2015","6,078.23","6,058.85","6,131.71","6,040.51","-","-0.68%"
"May 06, 2015","6,120.10","6,058.97","6,120.10","6,035.92","-","0.25%"
"May 05, 2015","6,104.82","6,081.55","6,151.80","6,045.37","-","0.81%"
"May 04, 2015","6,055.90","5,942.45","6,093.04","5,942.09","-","2.15%"
"Apr 30, 2015","5,928.71","5,970.45","6,058.28","5,872.15","-","-1.14%"
"Apr 29, 2015","5,996.80","6,184.11","6,191.60","5,869.07","-","-3.49%"
"Apr 28, 2015","6,213.64","6,190.81","6,213.64","6,130.45","-","-0.75%"
"Apr 27, 2015","6,260.75","6,491.92","6,491.92","6,244.89","-","-4.32%"
"Apr 24, 2015","6,543.46","6,560.96","6,581.30","6,528.25","-","0.04%"
"Apr 23, 2015","6,540.57","6,554.81","6,576.84","6,539.33","-","-0.12%"
"Apr 22, 2015","6,548.29","6,565.82","6,574.02","6,540.81","-","-0.50%"
"Apr 21, 2015","6,581.45","6,490.07","6,581.45","6,487.05","-","1.51%"
"Apr 20, 2015","6,483.42","6,491.88","6,492.40","6,456.57","-","-0.23%"
"Apr 17, 2015","6,498.59","6,534.49","6,543.17","6,498.59","-","-0.68%"
"Apr 16, 2015","6,542.84","6,534.31","6,547.38","6,510.63","-","0.28%"
"Apr 15, 2015","6,524.33","6,533.25","6,533.28","6,484.43","-","0.01%"
"Apr 14, 2015","6,523.75","6,546.17","6,558.13","6,496.88","-","-0.60%"
"Apr 13, 2015","6,562.93","6,573.22","6,585.39","6,538.07","-","-0.51%"
"Apr 10, 2015","6,596.25","6,613.74","6,621.27","6,561.84","-","-0.20%"
"Apr 09, 2015","6,609.30","6,609.11","6,609.30","6,575.50","-","0.23%"
"Apr 08, 2015","6,593.99","6,635.42","6,642.60","6,580.65","-","-0.96%"
"Apr 07, 2015","6,657.89","6,652.98","6,665.40","6,642.56","-","0.73%"
"Apr 06, 2015","6,609.61","6,591.74","6,630.94","6,589.63","-","0.60%"
