"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 27, 2017","44,454","44,689","44,795","44,282","23.59K","-0.41%"
"Feb 24, 2017","44,635","44,880","45,015","44,503","24.67K","-1.12%"
"Feb 23, 2017","45,142","45,005","45,350","44,718","23.87K","0.10%"
"Feb 22, 2017","45,099","45,802","45,828","44,967","38.93K","-1.15%"
"Feb 21, 2017","45,624","45,671","45,785","45,303","21.90K","-0.02%"
"Feb 20, 2017","45,632","45,350","45,770","45,335","18.49K","1.00%"
"Feb 17, 2017","45,182","45,489","45,545","45,076","26.36K","-0.87%"
"Feb 16, 2017","45,579","45,711","45,790","45,302","24.75K","-0.04%"
"Feb 15, 2017","45,596","45,852","45,930","45,400","22.95K","-0.06%"
"Feb 14, 2017","45,622","46,005","46,089","45,488","28.63K","-1.12%"
"Feb 13, 2017","46,140","46,100","46,345","46,026","25.62K","0.46%"
"Feb 10, 2017","45,927","45,561","45,997","45,505","35.41K","1.50%"
"Feb 09, 2017","45,247","45,206","45,579","45,136","21.00K","0.31%"
"Feb 08, 2017","45,106","45,590","45,640","45,065","24.95K","-1.02%"
"Feb 07, 2017","45,571","45,491","45,660","45,300","26.62K","-0.11%"
"Feb 06, 2017","45,619","45,876","45,954","45,515","20.90K","-0.12%"
"Feb 03, 2017","45,676","45,900","45,998","45,614","26.84K","-0.95%"
"Feb 02, 2017","46,115","46,230","46,410","45,986","21.78K","-0.81%"
"Feb 01, 2017","46,490","46,427","46,709","46,281","20.43K","0.57%"
"Jan 31, 2017","46,227","45,979","46,457","45,905","23.28K","0.17%"
"Jan 30, 2017","46,150","46,380","46,550","46,044","21.20K","-0.77%"
"Jan 27, 2017","46,510","46,800","46,990","46,342","25.01K","-0.71%"
"Jan 26, 2017","46,843","46,979","47,150","46,650","22.66K","0.18%"
"Jan 25, 2017","46,758","47,210","47,280","46,747","33.80K","-0.20%"
"Jan 24, 2017","46,854","46,681","46,900","46,592","24.21K","0.56%"
"Jan 23, 2017","46,591","45,999","46,660","45,950","22.99K","0.94%"
"Jan 20, 2017","46,159","46,369","46,418","46,046","21.04K","-0.62%"
"Jan 19, 2017","46,445","46,550","46,690","46,365","27.59K","-0.17%"
"Jan 18, 2017","46,524","46,650","46,784","46,384","21.87K","0.03%"
"Jan 17, 2017","46,508","46,620","46,785","46,400","21.12K","-0.59%"
"Jan 16, 2017","46,785","46,359","46,828","46,240","20.11K","0.61%"
"Jan 13, 2017","46,502","46,219","46,589","46,145","28.38K","0.70%"
"Jan 12, 2017","46,179","46,030","46,630","45,980","37.51K","-0.05%"
"Jan 11, 2017","46,203","45,597","46,341","45,390","47.31K","1.59%"
"Jan 10, 2017","45,478","44,780","45,553","44,730","29.59K","1.62%"
"Jan 09, 2017","44,754","45,120","45,333","44,687","18.73K","-0.62%"
"Jan 06, 2017","45,035","44,298","45,098","44,080","30.56K","1.99%"
"Jan 05, 2017","44,155","44,698","44,792","44,035","26.93K","-0.63%"
"Jan 04, 2017","44,436","44,849","44,850","44,038","38.80K","-0.78%"
"Jan 03, 2017","44,784","44,639","44,934","44,605","25.04K","1.08%"
"Dec 30, 2016","44,306","44,640","44,798","44,212","14.17K","-0.57%"
"Dec 29, 2016","44,562","44,179","44,635","44,142","20.02K","0.75%"
